_id,N_Processo,Orgao,Situacao_Orgao,Modalidade,Objeto,Itens_Licitado,Valor_Total_Previsto,Valor_Total_Realizado,Quant_Licitada,N_Edital,Data_Publicação,Data_Abertura,CPF_CNPJ,Razao_Social
1,31/300.280/2019,FUNRESPMS,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE COLETE TÁTICO E CINTO DE GUARNIÇÃO,"Cinto - Tipo: de guarnição operacional, Confeccionado: em nylon  tipo cadarço duplo ultra-resistente  não refletivo com espessura mínima de 5 mm e largura mínima de 50 mm  duplamente costurado com fio de nylon de alta performance, Acabamento: em viés de nylon com o mínimo de 8 mm presente em ambos os lados e em toda a sua extensão  costurados com fio de nylon, Requisito: possuir alma em polímero c",81675 0000000000000000,73470 0000000000000000,150 00000000,0017/2019,20191210,20200402,61182424000109,O. FILIZZOLA & CIA LTDA - EPP
2,31/300.280/2019,FUNRESPMS,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE COLETE TÁTICO E CINTO DE GUARNIÇÃO,"Cinto - Tipo: de guarnição operacional, Confeccionado: em nylon  tipo cadarço duplo ultra-resistente  não refletivo com espessura mínima de 5 mm e largura mínima de 50 mm  duplamente costurado com fio de nylon de alta performance, Acabamento: em viés de nylon com o mínimo de 8 mm presente em ambos os lados e em toda a sua extensão  costurados com fio de nylon, Requisito: possuir alma em polímero c",27225 0000000000000000,24490 0000000000000000,50 00000000,0017/2019,20191210,20200402,61182424000109,O. FILIZZOLA & CIA LTDA - EPP
3,31/300.280/2019,FUNRESPMS,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE COLETE TÁTICO E CINTO DE GUARNIÇÃO,"Capa - Tipo: tática para placa balística, Material: cordura 1000 e cordura 500, Fechamento: velcro em alta tenacidade, Sistema: modular com 04 módulos distintos  facilitando ajustes manutenção e higiene.",98475 0000000000000000,87450 0000000000000000,150 00000000,0017/2019,20191210,20200402,10661870000165,WTC INDUSTRIA E COMERCIO DE CONFECÇÕES E EQUIPAMENTOS EPP
4,31/300.280/2019,FUNRESPMS,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE COLETE TÁTICO E CINTO DE GUARNIÇÃO,"Capa - Tipo: tática para placa balística, Material: cordura 1000 e cordura 500, Fechamento: velcro em alta tenacidade, Sistema: modular com 04 módulos distintos  facilitando ajustes manutenção e higiene.",32825 0000000000000000,29150 0000000000000000,50 00000000,0017/2019,20191210,20200402,10661870000165,WTC INDUSTRIA E COMERCIO DE CONFECÇÕES E EQUIPAMENTOS EPP
5,31/300.280/2019,FUNRESPMS,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE COLETE TÁTICO E CINTO DE GUARNIÇÃO,"Cinto - Tipo: de guarnição operacional, Confeccionado: em nylon  tipo cadarço duplo ultra-resistente  não refletivo com espessura mínima de 5 mm e largura mínima de 50 mm  duplamente costurado com fio de nylon de alta performance, Acabamento: em viés de nylon com o mínimo de 8 mm presente em ambos os lados e em toda a sua extensão  costurados com fio de nylon, Requisito: possuir alma em polímero c",108900 0000000000000000,73470 0000000000000000,150 00000000,0017/2019,20191210,20200402,61182424000109,O. FILIZZOLA & CIA LTDA - EPP
6,31/300.280/2019,FUNRESPMS,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE COLETE TÁTICO E CINTO DE GUARNIÇÃO,"Capa - Tipo: tática para placa balística, Material: cordura 1000 e cordura 500, Fechamento: velcro em alta tenacidade, Sistema: modular com 04 módulos distintos  facilitando ajustes manutenção e higiene.",131300 0000000000000000,87450 0000000000000000,150 00000000,0017/2019,20191210,20200402,10661870000165,WTC INDUSTRIA E COMERCIO DE CONFECÇÕES E EQUIPAMENTOS EPP
7,29/019.545/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE UTENSÍLIOS DE COZINHA,"Bacia - Material: plástico resistente, Capacidade Mínima: 40 litros, Diâmetro : 53 cm.",74 3600000000000000,74 3600000000000000,4 00000000,0030/2019,20191212,20200207,3257078000184,YOUSSIF AMIM YOUSSIF.
8,29/019.545/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE UTENSÍLIOS DE COZINHA,"Forma - Formato: retangular, Tipo: assadeira, Uso: para pão doce, Medida: 58x70x3 cm, Material: folha de flandres.",296 9200000000000000,230 0000000000000000,4 00000000,0030/2019,20191212,20200207,3257078000184,YOUSSIF AMIM YOUSSIF.
9,29/019.545/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE UTENSÍLIOS DE COZINHA,"Balde - Uso: limpeza, Material: plástico resistente, Capacidade em Litro: 20.",66 6400000000000000,48 0000000000000000,4 00000000,0030/2019,20191212,20200207,3257078000184,YOUSSIF AMIM YOUSSIF.
10,29/019.545/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE UTENSÍLIOS DE COZINHA,"Bacia - Material: plástico, Capacidade: 20 litros.",86 8000000000000000,68 0000000000000000,4 00000000,0030/2019,20191212,20200207,3257078000184,YOUSSIF AMIM YOUSSIF.
