_id,N_Processo,Orgao,Situacao_Orgao,Modalidade,Objeto,Itens_Licitado,Valor_Total_Previsto,Valor_Total_Realizado,Quant_Licitada,N_Edital,Data_Publicação,Data_Abertura,CPF_CNPJ,Razao_Social
1,11/013.975/2020,FUNFAZ,Ativo,PREGÃO ELETRÔNICO,Aquisição de Sistema de Gestão Previdenciária - PROFISCO II,Implantação  instalação  configuração do sistema e treinamento aos usuários. Essas ações deverão ser executadas por equipe “On Site” composta por no mínimo 2 (dois) consultores,883200 0000000000000000,883200 0000000000000000,12 00000000,0009/2020,20210201,20210331,59307000168,AGENDA ASSESSORIA  PLANEJAMENTO E INFORMÁTICA LTDA
2,11/013.975/2020,FUNFAZ,Ativo,PREGÃO ELETRÔNICO,Aquisição de Sistema de Gestão Previdenciária - PROFISCO II,Manutenção  atualizações do sistema  com suporte técnico contínuo remoto  e equipe “On Site” composta por no mínimo 2 (dois) consultores,1357500 0000000000000000,1357500 0000000000000000,12 00000000,0009/2020,20210201,20210331,59307000168,AGENDA ASSESSORIA  PLANEJAMENTO E INFORMÁTICA LTDA
3,11/013.975/2020,FUNFAZ,Ativo,PREGÃO ELETRÔNICO,Aquisição de Sistema de Gestão Previdenciária - PROFISCO II,Cessão de Licença perpétua (permanente) de software para Sistema Integrado Previdenciário  sem limite de quantidade de usuários identificados  ativos ou simultâneos,1265000 0000000000000000,1264300 0000000000000000,1 00000000,0009/2020,20210201,20210331,59307000168,AGENDA ASSESSORIA  PLANEJAMENTO E INFORMÁTICA LTDA
4,11/013.975/2020,FUNFAZ,Ativo,PREGÃO ELETRÔNICO,Aquisição de Sistema de Gestão Previdenciária - PROFISCO II,Implantação  instalação  configuração do sistema e treinamento aos usuários. Essas ações deverão ser executadas por equipe “On Site” composta por no mínimo 2 (dois) consultores,883200 0000000000000000,883200 0000000000000000,12 00000000,0009/2020,20210201,20210331,59307000168,AGENDA ASSESSORIA  PLANEJAMENTO E INFORMÁTICA LTDA
5,11/013.975/2020,FUNFAZ,Ativo,PREGÃO ELETRÔNICO,Aquisição de Sistema de Gestão Previdenciária - PROFISCO II,Manutenção  atualizações do sistema  com suporte técnico contínuo remoto  e equipe “On Site” composta por no mínimo 2 (dois) consultores,1357500 0000000000000000,1357500 0000000000000000,12 00000000,0009/2020,20210201,20210331,59307000168,AGENDA ASSESSORIA  PLANEJAMENTO E INFORMÁTICA LTDA
6,11/013.975/2020,FUNFAZ,Ativo,PREGÃO ELETRÔNICO,Aquisição de Sistema de Gestão Previdenciária - PROFISCO II,Cessão de Licença perpétua (permanente) de software para Sistema Integrado Previdenciário  sem limite de quantidade de usuários identificados  ativos ou simultâneos,1265000 0000000000000000,1264300 0000000000000000,1 00000000,0009/2020,20210201,20210331,59307000168,AGENDA ASSESSORIA  PLANEJAMENTO E INFORMÁTICA LTDA
7,29/041.101/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE EQUIPAMENTOS DE PROCESSAMENTO DE DADOS COMPUTADORES E MONITORES.,"Monitor - Tela: LED - 27 ” Full HD, Resolução: Full HD (1080p) 1920 x 1080 a 60 Hz, Tempo de resposta: máximo 8ms, Quantidade de cor: mínimo 16 milhões , Pixel  pitch: máximo 0 3mm, Brilho: mínimo 200cd, Acompanha: cabo de força  cabo VGA  manuais e tudo que for necessário para o seu perfeito funcionamento, Dados complementares: deve possuir no mínimo 1 porta D-SUB (VGA)  1 interface DVI-D ou 1 in",14274 8000000000000000,11160 0000000000000000,8 00000000,0005/2020,20210203,20210219,13646927000145,CAPILE COMERCIO E TECNOLOGIA LTDA
8,29/041.101/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE EQUIPAMENTOS DE PROCESSAMENTO DE DADOS COMPUTADORES E MONITORES.,"Microcomputador - Tipo: Desktop, Processador: padrão X64 com no mínimo 8 núcleos de no mínimo de 2.0 GHz de frequência de base  memória cache de no mínimo 12MB e TDP máximo de 35W, Placa mãe: com chipset do mesmo fabricante do processador, Desenvolvida pelo mesmo fabricante do equipamento, Barramento de memória: 2666mhz com suporte a no mínimo 64 GB de memória ram e suporte à tecnologia dual-chann",51547 2000000000000000,49000 0000000000000000,8 00000000,0005/2020,20210203,20210219,13646927000145,CAPILE COMERCIO E TECNOLOGIA LTDA
9,29/041.101/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE EQUIPAMENTOS DE PROCESSAMENTO DE DADOS COMPUTADORES E MONITORES.,"Monitor - Tela: LED - 27 ” Full HD, Resolução: Full HD (1080p) 1920 x 1080 a 60 Hz, Tempo de resposta: máximo 8ms, Quantidade de cor: mínimo 16 milhões , Pixel  pitch: máximo 0 3mm, Brilho: mínimo 200cd, Acompanha: cabo de força  cabo VGA  manuais e tudo que for necessário para o seu perfeito funcionamento, Dados complementares: deve possuir no mínimo 1 porta D-SUB (VGA)  1 interface DVI-D ou 1 in",14274 8000000000000000,11160 0000000000000000,8 00000000,0005/2020,20210203,20210219,13646927000145,CAPILE COMERCIO E TECNOLOGIA LTDA
10,29/041.101/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE EQUIPAMENTOS DE PROCESSAMENTO DE DADOS COMPUTADORES E MONITORES.,"Microcomputador - Tipo: Desktop, Processador: padrão X64 com no mínimo 8 núcleos de no mínimo de 2.0 GHz de frequência de base  memória cache de no mínimo 12MB e TDP máximo de 35W, Placa mãe: com chipset do mesmo fabricante do processador, Desenvolvida pelo mesmo fabricante do equipamento, Barramento de memória: 2666mhz com suporte a no mínimo 64 GB de memória ram e suporte à tecnologia dual-chann",51547 2000000000000000,49000 0000000000000000,8 00000000,0005/2020,20210203,20210219,13646927000145,CAPILE COMERCIO E TECNOLOGIA LTDA
