_id,N_Processo,Orgao,Situacao_Orgao,Modalidade,Objeto,Itens_Licitado,Valor_Total_Previsto,Valor_Total_Realizado,Quant_Licitada,N_Edital,Data_Publicação,Data_Abertura,CPF_CNPJ,Razao_Social
1,71/000.297/2020,SEMAGRO - Inativo - 2022,Inativo,PREGÃO ELETRÔNICO,Aquisição de material permanente,"GPS - Tipo: Ecrã Táctil, Compatível: Interface USB e NMEA 0183, Tecnologia de formação de imagem: capacidade mínima de 2000 paradas  100 rotas e registro de 5000 pontos por trajeto, Receptor: alta sensibilidade, Requisito: mapa base e possibilidade de incluir novos mapas, Acessórios: cabo USB  2 pilhas recarregáveis ou bateria  carregador  manual em português e kit veicular, Classificação: á prova",11478 6900000000000000,11478 6900000000000000,3 00000000,0005/2020,20201201,20201214,18272465000167,MB COMÉRCIO DE MAQUINAS  FERRAMENTAS E SERVIÇOS LTDA
2,71/830.008/2020,FUNTER - Inativo - 2022,Inativo,PREGÃO ELETRÔNICO,Aquisição de um trator de esteiras,"Trator - Tipo: de esteira, Potência mínima: 118 HP, Número de cilindros: 6, Combustivel: diesel, Largura mínima da lâmina: 2.990 mm, Altura mínima da lâmina: 980 mm, Elevação mínima da lâmina: 965 mm, Angulação mínima da lâmina: 25 0 °, Ajuste mínimo de inclinação: 400 mm, Cabine: com ar condicionado  buzina e sinalizador de marcha a ré, Faróis: dianteiros e traseiros, Fabricação da máquina e do m",830000 0000000000000000,815000 0000000000000000,1 00000000,0005/2020,20201201,20201214,55334098000296,RICCI MÁQUINAS LTDA
3,71/830.008/2020,FUNTER - Inativo - 2022,Inativo,PREGÃO ELETRÔNICO,Aquisição de um trator de esteiras,"Trator - Tipo: de esteira, Potência mínima: 118 HP, Número de cilindros: 6, Combustivel: diesel, Largura mínima da lâmina: 2.990 mm, Altura mínima da lâmina: 980 mm, Elevação mínima da lâmina: 965 mm, Angulação mínima da lâmina: 25 0 °, Ajuste mínimo de inclinação: 400 mm, Cabine: com ar condicionado  buzina e sinalizador de marcha a ré, Faróis: dianteiros e traseiros, Fabricação da máquina e do m",830000 0000000000000000,815000 0000000000000000,1 00000000,0005/2020,20201201,20201214,55334098000296,RICCI MÁQUINAS LTDA
4,71/000.297/2020,SEMAGRO - Inativo - 2022,Inativo,PREGÃO ELETRÔNICO,Aquisição de material permanente,"GPS - Tipo: Ecrã Táctil, Compatível: Interface USB e NMEA 0183, Tecnologia de formação de imagem: capacidade mínima de 2000 paradas  100 rotas e registro de 5000 pontos por trajeto, Receptor: alta sensibilidade, Requisito: mapa base e possibilidade de incluir novos mapas, Acessórios: cabo USB  2 pilhas recarregáveis ou bateria  carregador  manual em português e kit veicular, Classificação: á prova",11478 6900000000000000,11478 6900000000000000,3 00000000,0005/2020,20201201,20201214,18272465000167,MB COMÉRCIO DE MAQUINAS  FERRAMENTAS E SERVIÇOS LTDA
5,27/001.673/2020,FESA,Ativo,PREGÃO ELETRÔNICO,Aquisição de equipamentos e materiais permanentes hospitalares  através de recursos da emenda parlamentar  transferidos fundo a fundo  habilitada na portaria nº 2.038  de 09 de dezembro de 2015  constante da proposta nº 03517.102000/1150-06.,"Bomba de infusão - Uso: sistema de infusão parenteral programável para equipos dedicados, Modos de operação: KVO  bolus  programação por tempo  volume ou taxa, Faixa de controle: vazão: de 0 1 a 999 ml/h  tempo: de 01 minuto à 99 horas e volume: 0 1 até 9999 ml, Sistemas e dispositivos de alarme: oclusão  fim de infusão  ar na linha de infusão  porta aberta e bateria fraca, Bateria: recarregável i",31031 4000000000000000,31031 4000000000000000,6 00000000,0022/2020,20201202,20210730,20371330000109,MUNDI EQUIPAMENTOS MEDICOS ODONTOLOGICOS E VETERINARIOS EIRELLI
6,27/001.673/2020,FESA,Ativo,PREGÃO ELETRÔNICO,Aquisição de equipamentos e materiais permanentes hospitalares  através de recursos da emenda parlamentar  transferidos fundo a fundo  habilitada na portaria nº 2.038  de 09 de dezembro de 2015  constante da proposta nº 03517.102000/1150-06.,"Bomba de infusão - Uso: sistema de infusão parenteral programável para equipos dedicados, Modos de operação: KVO  bolus  programação por tempo  volume ou taxa, Faixa de controle: vazão: de 0 1 a 999 ml/h  tempo: de 01 minuto à 99 horas e volume: 0 1 até 9999 ml, Sistemas e dispositivos de alarme: oclusão  fim de infusão  ar na linha de infusão  porta aberta e bateria fraca, Bateria: recarregável i",31031 4000000000000000,31031 4000000000000000,6 00000000,0022/2020,20201202,20210730,20371330000109,MUNDI EQUIPAMENTOS MEDICOS ODONTOLOGICOS E VETERINARIOS EIRELLI
7,27/001.673/2020,FESA,Ativo,PREGÃO ELETRÔNICO,Aquisição de equipamentos e materiais permanentes hospitalares  através de recursos da emenda parlamentar  transferidos fundo a fundo  habilitada na portaria nº 2.038  de 09 de dezembro de 2015  constante da proposta nº 03517.102000/1150-06.,"Bomba de infusão - Uso: sistema de infusão parenteral programável para equipos dedicados, Modos de operação: KVO  bolus  programação por tempo  volume ou taxa, Faixa de controle: vazão: de 0 1 a 999 ml/h  tempo: de 01 minuto à 99 horas e volume: 0 1 até 9999 ml, Sistemas e dispositivos de alarme: oclusão  fim de infusão  ar na linha de infusão  porta aberta e bateria fraca, Bateria: recarregável i",27454 5600000000000000,31031 4000000000000000,6 00000000,0022/2020,20201202,20210730,20371330000109,MUNDI EQUIPAMENTOS MEDICOS ODONTOLOGICOS E VETERINARIOS EIRELLI
8,27/001.673/2020,FESA,Ativo,PREGÃO ELETRÔNICO,Aquisição de equipamentos e materiais permanentes hospitalares  através de recursos da emenda parlamentar  transferidos fundo a fundo  habilitada na portaria nº 2.038  de 09 de dezembro de 2015  constante da proposta nº 03517.102000/1150-06.,"Oxímetro - Tipo: palm , Funções disponíveis: medida de pulso e medida de SpO2, Funções do alarme: bateria fraca, Bateria: interna  recarregável  autonomia mínima de 2h, Visor: LCD, Faixa de medição: mínimo de 40% a 100% para SpO2  mínimo de 40bpm a 240bpm, Acompanha: 03 unidades de sensor reutilizável de oximetria adulto.",5885 0800000000000000,3418 7800000000000000,2 00000000,0022/2020,20201202,20210730,20371330000109,MUNDI EQUIPAMENTOS MEDICOS ODONTOLOGICOS E VETERINARIOS EIRELLI
9,27/001.673/2020,FESA,Ativo,PREGÃO ELETRÔNICO,Aquisição de equipamentos e materiais permanentes hospitalares  através de recursos da emenda parlamentar  transferidos fundo a fundo  habilitada na portaria nº 2.038  de 09 de dezembro de 2015  constante da proposta nº 03517.102000/1150-06.,"Oxímetro - Tipo: palm , Funções disponíveis: medida de pulso e medida de SpO2, Funções do alarme: bateria fraca, Bateria: interna  recarregável  autonomia mínima de 2h, Visor: LCD, Faixa de medição: mínimo de 40% a 100% para SpO2  mínimo de 40bpm a 240bpm, Acompanha: 03 unidades de sensor reutilizável de oximetria adulto.",2801 4000000000000000,3418 7800000000000000,2 00000000,0022/2020,20201202,20210730,20371330000109,MUNDI EQUIPAMENTOS MEDICOS ODONTOLOGICOS E VETERINARIOS EIRELLI
10,27/001.673/2020,FESA,Ativo,PREGÃO ELETRÔNICO,Aquisição de equipamentos e materiais permanentes hospitalares  através de recursos da emenda parlamentar  transferidos fundo a fundo  habilitada na portaria nº 2.038  de 09 de dezembro de 2015  constante da proposta nº 03517.102000/1150-06.,"Oxímetro - Tipo: palm , Funções disponíveis: medida de pulso e medida de SpO2, Funções do alarme: bateria fraca, Bateria: interna  recarregável  autonomia mínima de 2h, Visor: LCD, Faixa de medição: mínimo de 40% a 100% para SpO2  mínimo de 40bpm a 240bpm, Acompanha: 03 unidades de sensor reutilizável de oximetria adulto.",2801 4000000000000000,3418 7800000000000000,2 00000000,0022/2020,20201202,20210730,20371330000109,MUNDI EQUIPAMENTOS MEDICOS ODONTOLOGICOS E VETERINARIOS EIRELLI
