_id,N_Processo,Orgao,Situacao_Orgao,Modalidade,Objeto,Itens_Licitado,Valor_Total_Previsto,Valor_Total_Realizado,Quant_Licitada,N_Edital,Data_Publicação,Data_Abertura,CPF_CNPJ,Razao_Social
1,27/002.775/2017,FESA,Ativo,PREGÃO ELETRÔNICO,1º REPETIÇÃO AQUISIÇÃO DE INSUMOS PARA LABORATÓRIO,"Plástico para laboratório - Tipo: pisseta, Material: polietileno, Corpo: graduado, Tampa: com bico curvo, Capacidade: 1000 ml, Informação Adicional: graduação em silk-screen.",107 1000000000000000,92 0000000000000000,10 00000000,0035/2018,20180503,20180606,12498340000173,THAIS DE ARRUDA PAIVA EIRELI - ME
2,27/002.775/2017,FESA,Ativo,PREGÃO ELETRÔNICO,1º REPETIÇÃO AQUISIÇÃO DE INSUMOS PARA LABORATÓRIO,"Filtro para seringa - Material: membrana em politetrafluoretileno (PTFE) hidrofóbico, Tamanho do poro: 0 2 µm, Diâmetro : 13 mm.",2010 4000000000000000,1743 0000000000000000,5 00000000,0035/2018,20180503,20180606,12498340000173,THAIS DE ARRUDA PAIVA EIRELI - ME
3,27/002.775/2017,FESA,Ativo,PREGÃO ELETRÔNICO,1º REPETIÇÃO AQUISIÇÃO DE INSUMOS PARA LABORATÓRIO,"Vidraria para laboratório - Tipo: balão volumétrico, Material: vidro borosilicato, Capacidade: 10 ml, Tampa: rolha de vidro esmerilhada, Requisito: classe 'A', Tipo do gargalo: longo, Tolerância: +/- 0 02 ml.",369 0000000000000000,325 0000000000000000,20 00000000,0035/2018,20180503,20180606,12498340000173,THAIS DE ARRUDA PAIVA EIRELI - ME
4,27/000.958/2018,FESA,Ativo,PREGÃO ELETRÔNICO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONFECÇÃO DE JALECOS E CAMISETAS,"Uniforme - Tipo: jaleco, Dados Complementares: personalizado.",12208 0000000000000000,7920 0000000000000000,160 00000000,0036/2018,20180503,20180515,2626169000187,EVENTEC SERVIÇOS E COMÉRCIO DE PRODUTOS LTDA.
5,27/000.958/2018,FESA,Ativo,PREGÃO ELETRÔNICO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONFECÇÃO DE JALECOS E CAMISETAS,Camisa - Tipo: personalizada.,7196 3400000000000000,6299 5800000000000000,318 00000000,0036/2018,20180503,20180515,10264096000159,W & S INDÚSTRIA E COMÉRCIO DE CONFECÇÃO LTDA - ME
6,27/000.958/2018,FESA,Ativo,PREGÃO ELETRÔNICO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONFECÇÃO DE JALECOS E CAMISETAS,Camisa - Tipo: personalizada.,9410 6000000000000000,7199 3200000000000000,422 00000000,0036/2018,20180503,20180515,10264096000159,W & S INDÚSTRIA E COMÉRCIO DE CONFECÇÃO LTDA - ME
7,27/000.958/2018,FESA,Ativo,PREGÃO ELETRÔNICO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONFECÇÃO DE JALECOS E CAMISETAS,Camisa - Tipo: personalizada.,7622 8000000000000000,6608 0000000000000000,236 00000000,0036/2018,20180503,20180515,2626169000187,EVENTEC SERVIÇOS E COMÉRCIO DE PRODUTOS LTDA.
8,57/500.052/2018,AGEHAB,Ativo,TOMADA DE PREÇOS,Execução das obras de construção de bases para unidades habitacionais  com área unitária de 42 56 m²  no Conjunto Habitacional Taquari II  município de Coxim/MS,Serviço de obras do Estado/Municípios não Imobilizáveis,305269 7900000000000000,231394 5000000000000000,1 00000000,0002/2018,20180504,20180514,36779403000128,GBA Serviços e Construções Ltda-ME
9,57/500.030/2018,AGEHAB,Ativo,TOMADA DE PREÇOS,execução das obras de construção de bases para unidades habitacionais  com área unitária de 42 56 m²  no Loteamento Chácara Nossa Senhora de Fátima  município de Corguinho/MS,Serviço de obras do Estado/Municípios não Imobilizáveis,357719 3900000000000000,267722 8200000000000000,1 00000000,0003/2018,20180504,20180514,17485641000186,LT CONSTRUÇÕES E COMÉRCIO LTDA
10,57/500.052/2018,AGEHAB,Ativo,TOMADA DE PREÇOS,Execução das obras de construção de bases para unidades habitacionais  com área unitária de 42 56 m²  no Conjunto Habitacional Taquari II  município de Coxim/MS,Serviço de obras do Estado/Municípios não Imobilizáveis,305269 7900000000000000,231394 5000000000000000,1 00000000,0002/2018,20180504,20180514,36779403000128,GBA Serviços e Construções Ltda-ME
11,57/500.030/2018,AGEHAB,Ativo,TOMADA DE PREÇOS,execução das obras de construção de bases para unidades habitacionais  com área unitária de 42 56 m²  no Loteamento Chácara Nossa Senhora de Fátima  município de Corguinho/MS,Serviço de obras do Estado/Municípios não Imobilizáveis,357719 3900000000000000,267722 8200000000000000,1 00000000,0003/2018,20180504,20180514,17485641000186,LT CONSTRUÇÕES E COMÉRCIO LTDA
12,27/001.094/2018,FESA,Ativo,PREGÃO ELETRÔNICO,01º REPETIÇÃO - AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL,"Cloridrato de metilfenidato - Dosagem: 30 mg, Apresentação: cápsula  comprimido ou drágea de liberação controlada.",2473 2000000000000000,1944 0000000000000000,360 00000000,0039/2018,20180508,20180611,12420164000904,CM HOSPITALAR S.A. (FILIAL BRASÍLIA)
13,27/001.094/2018,FESA,Ativo,PREGÃO ELETRÔNICO,01º REPETIÇÃO - AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL,"Carbamazepina - Dosagem: 400 mg, Apresentação: comprimido de liberação prolongada.",21447 6000000000000000,16994 0000000000000000,11720 00000000,0039/2018,20180508,20180611,12420164000904,CM HOSPITALAR S.A. (FILIAL BRASÍLIA)
14,27/004.293/2017,FESA,Ativo,DISPENSA DE LICITAÇÃO,2º REPETIÇÃO AQUISIÇÃO DE KIT DE PRÓTESES - AÇÃO JUDICIAL,"Kit de prótese - Tipo: válvula de expulsão associada ao adaptador pneumático de assistência a vácuo, Compatível: com a prótese transtibial.",25000 0000000000000000,24000 0000000000000000,1 00000000,0037/2018,20180508,20180712,1203607000131,CIRUFRANCO ORTOPEDIA LTDA - EPP 
15,27/004.293/2017,FESA,Ativo,DISPENSA DE LICITAÇÃO,2º REPETIÇÃO AQUISIÇÃO DE KIT DE PRÓTESES - AÇÃO JUDICIAL,"Kit de prótese - Tipo: encaixe TSWB, Acompanha: liner em uretano e joelheira de vedação com revestimento interno em uretano.",36000 0000000000000000,30000 0000000000000000,2 00000000,0037/2018,20180508,20180712,1203607000131,CIRUFRANCO ORTOPEDIA LTDA - EPP 
16,27/000.776/2016,FESA,Ativo,PREGÃO ELETRÔNICO,02º REPETIÇÃO - CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENSAIO DE PROFICIÊNCIA E FORNECIMENTO DE CONTROLE INTERNO E EXTERNO,Contratação de serviços técnicos profissionais (Pessoa Jurídica) para assessoria/consultoria e/ou afins  conforme Termo de Referência / Anexo A.,17901 5800000000000000,17664 8400000000000000,1 00000000,0038/2018,20180508,20180726,29511607000118,CONTROLLAB CONTROLE DE QUALIDADE P LABORATORIOS LTDA
17,27/000.776/2016,FESA,Ativo,PREGÃO ELETRÔNICO,02º REPETIÇÃO - CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENSAIO DE PROFICIÊNCIA E FORNECIMENTO DE CONTROLE INTERNO E EXTERNO,Serviço de análise físico-quimico e/ou pesquisa científica  conforme Termo de Referência.,58571 9100000000000000,58335 1600000000000000,1 00000000,0038/2018,20180508,20180726,29511607000118,CONTROLLAB CONTROLE DE QUALIDADE P LABORATORIOS LTDA
18,27/001.094/2018,FESA,Ativo,PREGÃO ELETRÔNICO,01º REPETIÇÃO - AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL,"Carbamazepina - Dosagem: 400 mg, Apresentação: comprimido de liberação prolongada.",21447 6000000000000000,16994 0000000000000000,11720 00000000,0039/2018,20180508,20180611,12420164000904,CM HOSPITALAR S.A. (FILIAL BRASÍLIA)
19,27/001.094/2018,FESA,Ativo,PREGÃO ELETRÔNICO,01º REPETIÇÃO - AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL,"Cloridrato de metilfenidato - Dosagem: 30 mg, Apresentação: cápsula  comprimido ou drágea de liberação controlada.",2473 2000000000000000,1944 0000000000000000,360 00000000,0039/2018,20180508,20180611,12420164000904,CM HOSPITALAR S.A. (FILIAL BRASÍLIA)
20,27/000.970/2018,FESA,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE ÓCULOS DE GRAU COM LENTES CORRETIVAS,"Óculos - lente com armação - Uso: compensação de dioptrias (hipermetropia  astigmatismo e miopia), Material da armação: metal  zilo ou acetato, Material da lente: material orgânico ou policarbonato, Acompanha: estojo em plástico resistente  personalizado., Faixa de grau: - 5 00 até + 5 00 esférico / cilíndrico - 5 00.",2200 0000000000000000,2100 0000000000000000,20 00000000,0040/2018,20180509,20180521,27996015000108,MULTIQUALITY COMERCIAL LTDA.
21,27/000.970/2018,FESA,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE ÓCULOS DE GRAU COM LENTES CORRETIVAS,"Óculos - lente com armação - Uso: compensação de dioptrias (hipermetropia  astigmatismo e miopia), Material da armação: metal  zilo ou acetato, Material da lente: material orgânico ou policarbonato, Acompanha: estojo em plástico resistente  personalizado., Faixa de grau: de 4 00 até + 4 00 esférico / cilíndrico - 3 00.",5125 0000000000000000,5100 0000000000000000,50 00000000,0040/2018,20180509,20180521,27996015000108,MULTIQUALITY COMERCIAL LTDA.
22,27/000.970/2018,FESA,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE ÓCULOS DE GRAU COM LENTES CORRETIVAS,"Óculos - lente com armação - Uso: compensação de dioptrias (hipermetropia  astigmatismo e miopia), Material da armação: metal  zilo ou acetato, Material da lente: material orgânico ou policarbonato, Acompanha: estojo em plástico resistente  personalizado., Faixa de grau: de - 2 00 até + 2 00 esférico / cilíndrico - 3 00.",7000 0000000000000000,6800 0000000000000000,80 00000000,0040/2018,20180509,20180521,27996015000108,MULTIQUALITY COMERCIAL LTDA.
23,27/000.970/2018,FESA,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE ÓCULOS DE GRAU COM LENTES CORRETIVAS,"Óculos - lente com armação - Uso: compensação de dioptrias (hipermetropia  astigmatismo e miopia), Material da armação: metal  zilo ou acetato, Material da lente: material orgânico ou policarbonato, Acompanha: estojo em plástico resistente  personalizado., Faixa de grau: + 6 25 até + 8 00 esférico / cilíndrico - 2 00.",4450 0000000000000000,4400 0000000000000000,50 00000000,0040/2018,20180509,20180521,27996015000108,MULTIQUALITY COMERCIAL LTDA.
24,27/000.970/2018,FESA,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE ÓCULOS DE GRAU COM LENTES CORRETIVAS,"Óculos - lente com armação - Uso: compensação de dioptrias (hipermetropia  astigmatismo e miopia), Material da armação: metal  zilo ou acetato, Material da lente: material orgânico ou policarbonato, Acompanha: estojo em plástico resistente  personalizado., Faixa de grau: + 4 25 até + 6 00 esférico / cilíndrico - 2 00.",8600 0000000000000000,8300 0000000000000000,100 00000000,0040/2018,20180509,20180521,27996015000108,MULTIQUALITY COMERCIAL LTDA.
25,27/000.970/2018,FESA,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE ÓCULOS DE GRAU COM LENTES CORRETIVAS,"Óculos - lente com armação - Uso: compensação de dioptrias (hipermetropia  astigmatismo e miopia), Material da armação: metal  zilo ou acetato, Material da lente: material orgânico ou policarbonato, Acompanha: estojo em plástico resistente  personalizado., Faixa de grau: 0 00 até + 2 00 esférico.",340000 0000000000000000,340000 0000000000000000,5000 00000000,0040/2018,20180509,20180521,27996015000108,MULTIQUALITY COMERCIAL LTDA.
26,27/000.970/2018,FESA,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE ÓCULOS DE GRAU COM LENTES CORRETIVAS,"Óculos - lente com armação - Uso: compensação de dioptrias (hipermetropia  astigmatismo e miopia), Material da armação: metal  zilo ou acetato, Material da lente: material orgânico ou policarbonato, Acompanha: estojo em plástico resistente  personalizado., Faixa de grau: + 2 25 até + 4 esférico.",106500 0000000000000000,106500 0000000000000000,1500 00000000,0040/2018,20180509,20180521,27996015000108,MULTIQUALITY COMERCIAL LTDA.
27,27/000.970/2018,FESA,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE ÓCULOS DE GRAU COM LENTES CORRETIVAS,"Óculos - lente com armação - Uso: compensação de dioptrias (hipermetropia  astigmatismo e miopia), Material da armação: metal  zilo ou acetato, Material da lente: material orgânico ou policarbonato, Acompanha: estojo em plástico resistente  personalizado., Faixa de grau: + 4 25 até + 6 esférico.",12000 0000000000000000,11475 0000000000000000,150 00000000,0040/2018,20180509,20180521,27996015000108,MULTIQUALITY COMERCIAL LTDA.
28,27/000.970/2018,FESA,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE ÓCULOS DE GRAU COM LENTES CORRETIVAS,"Óculos - lente com armação - Uso: compensação de dioptrias (hipermetropia  astigmatismo e miopia), Material da armação: metal  zilo ou acetato, Material da lente: material orgânico ou policarbonato, Acompanha: estojo em plástico resistente  personalizado., Faixa de grau: 0 00 até +2 esférico / cilíndrico - 2 00.",72000 0000000000000000,68850 0000000000000000,900 00000000,0040/2018,20180509,20180521,27996015000108,MULTIQUALITY COMERCIAL LTDA.
29,27/000.970/2018,FESA,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE ÓCULOS DE GRAU COM LENTES CORRETIVAS,"Óculos - lente com armação - Uso: compensação de dioptrias (hipermetropia  astigmatismo e miopia), Material da armação: metal  zilo ou acetato, Material da lente: material orgânico ou policarbonato, Acompanha: estojo em plástico resistente  personalizado., Faixa de grau: + 2 25 até + 4 00 esférico / cilíndrico - 2 00.",12000 0000000000000000,11475 0000000000000000,150 00000000,0040/2018,20180509,20180521,27996015000108,MULTIQUALITY COMERCIAL LTDA.
